50	Following a truck hijack in New York, five conmen are arrested and brought together for questioning. As none of them are guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind criminal called Keyser Sze is felt. It becomes clear that each one of them has wronged Sze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Sze?	mystery::slow::twist ending::dull characters::boring::acting::overrated
69	Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and looking for something to do. Encounters with neighbors and other friends over the course of the day and night, and their ensuing antics, make up the rest of the movie.	Ice Cube::Chris Tucker::stupid last comment
70	Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.	cult classic
81	Jimmy the Saint's business is videotaping the terminally-ill, so that they will be around to give 'Afterlife Advice' to their survivors. He hasn't been doing too well lately and has had to turn to loan-sharks to accomodate his failing business, as well as his expensive personal tastes. When an evil gangster-overlord buys up his note and demands a favor of Jimmy, in exchange for the interest that he can't afford, Jimmy capitulates. Jimmy is to scare someone for the gangster-overlord--really rough them up. Without giving too much away (spoiler), the scene goes down badly and Jimmy and his crew all end up with contracts on their heads for their trouble.	organized crime::hit::sacrifice::revenge::hitman::mobsters::assassin::friendship
101	Focusing on a trio of friends and their elaborate plan to pull off a simple robbery and go on the run.	slow::love::sweet::heist::crime::mental illness::thieves::off-beat comedy::quirky::crime gone awry::friendship::motel
111	A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.	loneliness::Atmospheric::Cult film
112	A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.	fight scenes
123	Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.	stylized
160	A megalomaniac C.E.O. sends his son into the dangerous African Congo on a quest for a source of diamonds large enough and pure enough to function as powerful laser communications transmitters (or is it laser weapons?). When contact is lost with his son and the team, his sometime daughter- in-law is sent after them. She is a former CIA operative and, accompanied by gee-whiz gadgetry and a few eccentric characters (including a mercenary, a researcher with a talking gorilla, and a a nutty Indiana-Jones-type looking for King Solomon's Mines), sets out to rescue her former fianc. What they all discover is that often what we most want turns out to be the source of our downfall.	nostalgia
170	A young boy is arrested by the U.S. Secret Service for writing a computer virus and is banned from using a computer until his 18th birthday. Years later, he and his new-found friends discover a plot to unleash a dangerous computer virus, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.	hacker::inaccurate::hackers::video games::high school::cyberpunk::internet::hacking::cheesy
175	Disturbing, dark, low-budget independent film about teen-agers in New York City. The story focuses on Telly (Leo Fitzpatrick), a teen who has a goal to de-flower as many virgins as he can. When one of his old encounters discovers that she is H.I.V.-positive, after only one encounter with a guy, Telly remains undaunted.	cinema verite::teenagers::unique style::controversial::AIDS::authentic::Harmony Korine
180	Both dumped by their girlfriends, two best friends seek refuge in the local mall.	1990s::good dialogue::crude humor::Jay and Silent Bob::Kevin Smith
185	Angela Bennett's a software engineer type who works from home and has few friends outside of cyberspace. Taking her first vacation in years, she becomes embroiled in a web of computer espionage.	malware::stupid::inaccurate::computers::trojan::crime::simplistic::conspiracy::internet::hacking::unrealistic::plot holes
198	Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?	stupid::sci-fi::virtual reality::future::characters::futuristic
215	American tourist Jesse and French student Celine meet by chance on the train from Budapest to Vienna. Sensing that they are developing a connection, Jesse asks Celine to spend the day with him in Vienna, and she agrees. So they pass the time before his scheduled flight the next morning together. How do two perfect strangers connect so intimately over the course of a single day? What is that special thing that bonds two people so strongly? As their bond turns to love, what will happen to them the next morning when Jesse flies away?	bittersweet::dialogue::romantic::minimalist::literate::must see::understated::conversation::thought-provoking::wistful::reflective::intelligent
223	A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.	crude humor::cynical::view askew::independent film::slackers::surreal::jay and silent bob
235	An ambitious but troubled movie director tries his best to fulfill his dream, despite his lack of support.	Biography::movie business::true story::quirky::cross dressing::black and white
253	It hasn't even been a year since a plantation owner named Louis lost his wife in childbirth. Both his wife and the infant died, and now he has lost his will to live. A vampire named Lestat takes a liking to Louis and offers him the chance to become a creature of the night: a vampire. Louis accepts, and Lestat drains Louis' mortal blood and then replaces it with his own, turning Louis into a vampire. Louis must learn from Lestat the ways of the vampire.	cult classic::Nudity (Full Frontal)::Kirsten Dunst
260	A young boy from Tatooine sets out on an adventure with an old Jedi named Obi-Wan Kenobi as his mentor to save Princess Leia from the ruthless Darth Vader and Destroy the Death Star built by the Empire which has the power to destroy the entire galaxy.	Star Wars::this is the archetypal 'good sci-fi action' movie. it simply doesn't get better than this.::space adventure::sci-fi::Science Fiction::space action::space opera::classic sci-fi::good vs evil::USA film registry::cult classic::space-opera::space combat::action::politics::!George Lucas::fantasy::science fiction
288	Mickey Knox and Mallory Wilson aren't your typical lovers - after killing her abusive father, they go on a road trip where, every time they stop somewhere, they kill pretty well everyone around them. They do however leave one person alive at every shootout to tell the story and they soon become a media sensation thanks to sensationalized reporting. Told in a highly visual style.	stylized::dark comedy::obnoxious::brutality::grating
290	A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.	brutality
293	After her father, mother, older sister and little brother are killed by her father's employers, the 12-year-old daughter of an abject drug dealer is forced to take refuge in the apartment of a professional hitman who at her request teaches her the methods of his job so she can take her revenge on the corrupt DEA agent who ruined her life by killing her beloved brother.	disturbing::young girl
296	Jules Winnfield and Vincent Vega are two hitmen who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace. Wallace has also asked Vincent to take his wife Mia out a few days later when Wallace himself will be out of town. Butch Coolidge is an aging boxer who is paid by Wallace to lose his next fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.	Tarantino::clever writing::drugs::Samuel L. Jackson::philosophical::nonlinear::dark humor::Uma Thurman
307	The first part of Kieslowski's trilogy on France's national motto: Liberty, Equality, and Fraternity. 'Blue' is the story of Julie who loses her husband, an acclaimed composer and her young daughter in a car accident. The film's theme of liberty is manifested in Julie's attempt to start life anew, free of personal commitments, belongings, grief or love. She intends to numb herself by withdrawing from the world and living completely independently, anonymously and in solitude in the Parisian metropolis. Despite her intentions, people from her former and present life intrude with their own needs. However, the reality created by the people who need and care about her, a surprising discovery and the music around which the film revolves heal Julie and draws her back to the land of the living.	Brian::Darrin
316	In 1928, in Egypt, a strange device is found by an expedition. In the present days, the outcast linguist Dr. Daniel Jackson is invited by a mysterious woman to decipher an ancient hieroglyph in a military facility. Soon he finds that the device was developed by an advanced civilization and opens a portal to teletransport to another planet. Dr. Jackson is invited to join a military team under the command of Colonel Jonathan 'Jack' O'Neil that will explore the new world. They find a land that recalls Egypt and humans in a primitive culture that worship and are slaves to Ra, the God of the Sun. But soon they discover the secret of the mysterious "stargate".	science fiction
318	Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he claims he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.	Stephen King::mystery::prison escape::humor::justice::heartwarming::wrongful imprisonment::acting::soppy::touching::insincere::prison::morgan freeman::friendship
319	Three friends discover their new flatmate dead but loaded with cash.	disturbing::cynical::crime
327	Tank Girl (Rebecca) and her friends are the only remaining citizens living in the wasteland that is Earth, where all the remaining water is controlled by Water and Power, the mega corporation/government that runs the territory. While incarcerated at W + P, Tank Girl and her new friend Jet Girl break out and steal... a tank and a jet. After meeting some mutant kangaroo/humans, and rescuing her little girl (adopted by her friends), the kangaroos and the girls kick Water and Powers' butt.	Naomi Watts::unfinished::bestiality::stylized::stupid::craptacular::Lori Petty
342	Muriel finds life in Porpoise Spit, Australia dull and spends her days alone in her room listening to Abba music and dreaming of her wedding day. Slight problem, Muriel has never had a date. Then she steals some money to go on a tropical vacation, meets a wacky friend, changes her name to Mariel, and turns her world upside down.	bittersweet::Australian::friendship::feminist
349	Jack Ryan is back and this time the bad guys are in his own government. When Admiral James Greer becomes sick with cancer, Ryan is appointed acting CIA Deputy Director of Intelligence. Almost before he can draw a breath in his new position, one of the president's closest friends and his family are murdered in their sleep by what appears to by drug cartels. Ryan is called in to investigate, but unknown to him the CIA has already sent a secret field operative to lead an illegal paramilitary force in Colombia against cartels. Things get even more complicated when his team is set up and he loses an agent in the field and a friend of his wife's, who was the murdered agent's secretary, is murdered that same day. Ryan must then risk not only his career, but his life to expose the truth behind the mystery.	organized crime::cia::drug cartels::black ops::Harrison Ford::revenge::conspiracy::thiller::jack ryan
356	Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone.	bubba gump::political::classic adventure::chocolate::adventure::feel-good::lt dan::tragic lovestory
364	A young lion Prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young Prince must decide his fate: will he remain an outcast, or face his demons and become what he needs to be?	timon and pumba::disney::hamlet
366	It's nearing the 10th Anniversary of the film 'A Nightmare on Elm Street' and one of the stars, Heather Langenkamp is being scared by a voice on a phone, sounding very similar to the film's villain, Freddy Krueger. When Heather's husband is killed in a car accident and is discovered with slash marks on him, Heather starts to wonder something. Especially when she discovers that Wes Craven is writing another 'Nightmare' film. Soon, she realizes that Freddy has now entered the real world, and the only way to defeat him is to become Nancy Thompson once again.	possessed little kid::wes craven::freddy krueger::ridiculous::remake::cheesy
377	A young cop must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.	fast paced
380	Harry Tasker leads a double life. At work he is a government agent with a license to do just about anything, while at home he pretends to be a dull computer salesman. He is on the trail of stolen nuclear weapons that are in the hands of fanatic terrorists when something more important comes up. Harry finds his wife is seeing another man because she needs some adventure in her life. Harry decides to give it to her, juggling pursuit of terrorists on one hand and an adventure for his wife on the other while showing he can Tango all at once.	Arnold Schwarzenegger::Jamie Lee Curtis::not ridiculous enough::Eliza Dushku::shallow plot::mundane characters::ridiculous::action::terrorism::espionage
412	Society scion Newland Archer is engaged to May Welland, but his well-ordered life is upset when he meets May's unconventional cousin, the Countess Olenska. At first, Newland becomes a defender of the Countess, whose separation from her abusive husband makes her a social outcast in the restrictive high society of late-19th Century New York, but he finds in her a companion spirit and they fall in love.	dull
441	It's the last day of school at a high school in a small town in Texas in 1976. The upperclassmen are hazing the incoming freshmen, and everyone is trying to get stoned, drunk, or laid, even the football players that signed a pledge not to.	bullying::wired 50 greatest soundtracks::high school::small town
481	Brian Kessler, a journalist researching serial killers, and his photographer girlfriend Carrie set out on a cross-country tour of the sites of the killings. Sharing the ride and their expenses are Early Grayce, a paroled white trash criminal, and his girlfriend Adele. As the trip progresses, Early begins to appear more and more unstable, and Brian and Carrie begin to fear that they may have a real-life killer in the back seat of their car.	atmospheric::tense::photography::writer::writing::serial killer::disturbing::road trip
485	Young Danny Madigan is a big fan of Jack Slater, a larger-than-life action hero played by Arnold Schwarzenegger. When his best friend, Nick the projectionist, gives him a magic ticket to the new Jack Slater film, Danny is transported into Slater's world, where the good guys always win. One of Slater's enemies, Benedict the hitman, gets hold of the ticket and ends up in Danny's world, where he realises that if he can kill Schwarzenegger, Slater will be no more. Slater and Danny must travel back and stop him.	fun::violence::sadistic::cult film::stylized::campy::action::quirky::comedy::cheesy
508	When a man with AIDS is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.	alone
527	In Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.	depressing::world war ii::honest::drama::touching::music
546	Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.	video game adaptation
551	Jack Skellington, the pumpkin king of Halloween Town, is bored with doing the same thing every year for Halloween. One day he stumbles into Christmas Town, and is so taken with the idea of Christmas that he tries to get the resident bats, ghouls, and goblins of Halloween town to help him put on Christmas instead of Halloween -- but alas, they can't get it quite right.	beautiful::surreal::classic::claymation::great soundtrack::halloween::creepy::cult film::dark::fantasy::all ages::adventure::quirky::whimsical::stop motion
555	In Detroit, Clarence Worley goes to the movie theater alone on the day of his birthday to watch some movies. The gorgeous Alabama Whitman accidentally drops her popcorn on Clarence and they watch the movie together. Later they go to a diner for pie, and end up having a one night stand. In the morning, Alabama confesses that she is a call-girl hired to spend the night with him, but she has fallen in love with him. In the morning they get married and Clarence goes to the club where she worked to bring her some clothes. However, her pimp Drexl Spivey and his partner beat up Clarence and he reacts by killing them both. Clarence asks for Alabama's suitcase with her clothes and the other girls mistakenly give another one with cocaine. When Clarence discovers the mistake, he decides to travel with Alabama to the house of his friend, the aspiring actor Dick Ritchie, to sell the drug and travel to Mexico. He visits his father Clifford Worley and gives his address to him. But the Sicilian Mafia is the owner of the drug and a group of killers are sent to hunt down Clarnece and Alabama.	organized crime::Gary Oldman::love::brutality::homage::drugs::violence::Quentin Tarantino::brutal::cast::characters::action::cult classic::Christian Slater::intense
565	In 1536, in Veracruz, Mexico, during the Inquisition, an alchemist builds a mysterious and sophisticated device named Cronos to provide eternal life to the owner. In the present days, the antiques dealer Jesus Gris finds Cronos hidden inside an ancient statue while cleaning it with his granddaughter Aurora. He accidentally triggers the device and soon his wife Mercedes and he note that he has a younger appearance. Out of the blue, the stranger Angel de la Guardia visits Gris's shop and buys the old statue. On the next day, Gris finds his shop trashed and Angel's card on the floor. He pays a visit to Angel that introduces him to the eccentric millionaire De la Guardia that explains the healing power and the eternal life given by Cronos. Angel is sent by De la Guardia to hunt down Gris to get Cronos no matter the costs.	vampire::slow::atmospheric::clockwork devices::moody
587	Sam and Molly are a very happy couple and deeply in love. Walking back to their new apartment after a night out at the theatre, they encounter a thief in a dark alley, and Sam is murdered. He finds himself trapped as a ghost and realises that his death was no accident. He must warn Molly about the danger that she is in. But as a ghost he can not be seen or heard by the living, and so he tries to communicate with Molly through Oda Mae Brown, a psychic who didn't even realise that her powers were real.	supernatural
588	Aladdin is a street-urchin who lives in a large and busy town long ago with his faithful monkey friend Abu. When Princess Jasmine gets tired of being forced to remain in the palace that overlooks the city, she sneaks out to the marketplace, where she accidentally meets Aladdin. Under the orders of the evil Jafar (the sultan's advisor), Aladdin is thrown in jail and becomes caught up in Jafar's plot to rule the land with the aid of a mysterious lamp. Legend has it that only a person who is a "diamond in the rough" can retrieve the lamp from the Cave of Wonders. Aladdin might fit that description, but that's not enough to marry the princess, who must (by law) marry a prince.	adventure
589	Almost 10 years have passed since the first cyborg called The Terminator tried to kill Sarah Connor and her unborn son, John Connor. John Connor, the future leader of the human resistance, is now a healthy young boy. However another Terminator is sent back through time called the T-1000, which is more advanced and more powerful than its predecessor. The Mission: to kill John Connor when he's still a child. However, Sarah and John do not have to face this threat of a Terminator alone. Another Terminator is also sent back through time. The mission: to protect John and Sarah Connor at all costs. The battle for tomorrow has begun...	80s::action::edward furlong::cheesy::classic
593	Young FBI agent Clarice Starling is assigned to help find a missing woman to save her from a psychopathic serial killer who skins his victims. Clarice attempts to gain a better insight into the twisted mind of the killer by talking to another psychopath: Hannibal Lecter, who used to be a respected psychiatrist. FBI agent Jack Crawford believes that Lecter, who is also a very powerful and clever mind manipulator, has the answers to their questions and can help locate the killer. However, Clarice must first gain Lecter's confidence before the inmate will give away any information.	mystery::drama::suspense::serial killer::hannibal lecter::thriller
594	The beautiful and kindhearted princess Snow White charms every creature in the kingdom except one - her jealous stepmother, the Queen. When the Magic Mirror proclaims Snow White the fairest one of all, she must flee into the forest, where she befriends the lovable seven dwarfs - Doc, Sneezy, Grumpy, Happy, Bashful, Sleepy and Dopey. But when the Queen tricks Snow White with an enchanted apple, only the magic of true love's kiss can save her!	USA film registry
648	An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.	good performance::Brian De Palma::memorable sequence::plot twists::good guys::adventure::action::good cast::confusing::thriller::confusing plot
663	A team of scientists working for a pharmaceutical company discovers a cure for depression. When the company finds itself in trouble financially, they rush the new drug into production without doing enough testing. Things seem to go fine until some of the users of the drug start slipping into comas. It becomes a race between the scientists who want to tell the world the truth and the company's marketing department who wants to protect their profit margin.	Brian::Seth
678	Twenty-five years after commiting a double murder, Karl Childers is going to be released from an institution for the criminally insane. A local reporter comes to talk to him, and after some fussing about her gender, the institution's director lets her talk to Karl (after all, he'll have to talk to women after his release). Karl talks about his life leading up to the crime, and the reporter listens in horror.	short
724	A new girl moves to a new city with her family to start a new life. She meets up with the girls who are very interested in the occult and together, the four of them have a seemingly unstopable power. They can do anything, from getting thier dream guys to like them to... the possibilities are limitless.	teen movie
750	Paranoid Brigadier General Jack D. Ripper of Burpelson Air Force Base, believing that fluoridation of the American water supply is a Soviet plot to poison the U.S. populace, is able to deploy through a back door mechanism a nuclear attack on the Soviet Union without the knowledge of his superiors, including the Chair of the Joint Chiefs of Staff, General Buck Turgidson, and President Merkin Muffley. Only Ripper knows the code to recall the B-52 bombers and he has shut down communication in and out of Burpelson as a measure to protect this attack. Ripper's executive officer, RAF Group Captain Lionel Mandrake (on exchange from Britain), who is being held at Burpelson by Ripper, believes he knows the recall codes if he can only get a message to the outside world. Meanwhile at the Pentagon War Room, key persons including Muffley, Turgidson and nuclear scientist and adviser, a former Nazi named Dr. Strangelove, are discussing measures to stop the attack or mitigate its blow-up into an all out nuclear war with the Soviets. Against Turgidson's wishes, Muffley brings Soviet Ambassador Alexi de Sadesky into the War Room, and get his boss, Soviet Premier Dimitri Kisov, on the hot line to inform him of what's going on. The Americans in the War Room are dismayed to learn that the Soviets have an as yet unannounced Doomsday Device to detonate if any of their key targets are hit. As Ripper, Mandrake and those in the War Room try and work the situation to their end goal, Major T.J. "King" Kong, one of the B-52 bomber pilots, is working on his own agenda of deploying his bomb where ever he can on enemy soil if he can't make it to his intended target.	cold war::like::classic::based on a book::USA film registry::comedy
778	A wild, freeform, Rabelaisian trip through the darkest recesses of Edinburgh low-life, focusing on Mark Renton and his attempt to give up his heroin habit, and how the latter affects his relationship with family and friends: Sean Connery wannabe Sick Boy, dimbulb Spud, psycho Begbie, 14-year-old girlfriend Diane, and clean-cut athlete Tommy, who's never touched drugs but can't help being curious about them...	drugs::good soundtrack::dark comedy::British::great soundtrack
799	After a car accident in which his wife, Debra, was killed and he was injured, Frank Bannister develops psychic abilities allowing him to see, hear, and communicate with ghosts. After losing his wife, he then gave up his job as an architect, letting his unfinished "dream house" sit incomplete for years, and put these skills to use by befriending a few ghosts and getting them to haunt houses in the area to drum up work for his ghostbusting business; Then Frank proceeds to "exorcise" the houses for a fee. But when he discovers that an entity resembling the Grim Reaper is killing people, marking numbers on their forehead beforehand, Frank tries to help the people whom the Reaper is after!	supernatural
832	Tom Mullen is a millionaire, he built his fortune by working hard. Along the way he learned how to play the game. He has a great family. One day his son is kidnapped. He is willing to pay the ransom but decides to call in the FBI, who manages to go into his home secretly. When he goes to make the drop something goes wrong. The kidnapper calls him again and reschedules it. On the way Mullen decides not to go and appears on TV saying that the ransom he was going to give to the kidnapper is now a bounty on the kidnapper.	It was melodramatic and kind of dumb
858	When the aging head of a famous crime family decides to transfer his position to one of his subalterns, a series of unfortunate events start happening to the family, and a war begins between all the well-known families leading to insolence, deportation, murder and revenge, and ends with the favorable successor being finally chosen.	classic
866	Corky, a lesbian ex con hired to work in an apartment as a plumber, meets neighbors Caesar, who launders money for the Mafia, and his girlfriend Violet. The two women have a love affair and decide to steal $2,000,000 that Caesar has in custody before he gives them back to Mafia boss Gino Marzone. Caesar is set up by the two scheming women as a scapegoat but things start to go wrong when he reacts in an unexpected way...	stylish::neo-noir
899	A silent film production company and cast make a difficult transition to sound.	USA film registry
903	John "Scottie" Ferguson is a retired San Francisco police detective who suffers from acrophobia and Madeleine is the lady who leads him to high places. A wealthy shipbuilder who is an acquaintance from college days approaches Scottie and asks him to follow his beautiful wife, Madeleine. He fears she is going insane, maybe even contemplating suicide, because she believes she is possessed by a dead ancestor. Scottie is skeptical, but agrees after he sees the beautiful Madeleine.	USA film registry
904	A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.	alone::suspenseful
908	Madison Avenue advertising man Roger Thornhill finds himself thrust into the world of spies when he is mistaken for a man by the name of George Kaplan. Foreign spy Philip Vandamm and his henchman Leonard try to eliminate him but when Thornhill tries to make sense of the case, he is framed for murder. Now on the run from the police, he manages to board the 20th Century Limited bound for Chicago where he meets a beautiful blond, Eve Kendall, who helps him to evade the authorities. His world is turned upside down yet again when he learns that Eve isn't the innocent bystander he thought she was. Not all is as it seems however, leading to a dramatic rescue and escape at the top of Mt. Rushmore.	Kate
910	When two Chicago musicians, Joe and Jerry, witness the the St. Valentine's Day massacre, they want to get out of town and get away from the gangster responsible, Spats Colombo. They're desperate to get a gig out of town but the only job they know of is in an all-girl band heading to Florida. They show up at the train station as Josephine and Daphne, the replacement saxophone and bass players. They certainly enjoy being around the girls, especially Sugar Kane Kowalczyk who sings and plays the ukulele. Joe in particular sets out to woo her while Jerry/Daphne is wooed by a millionaire, Osgood Fielding III. Mayhem ensues as the two men try to keep their true identities hidden and Spats Colombo and his crew show up for a meeting with several other crime lords.	screwball comedy::USA film registry
912	In World War II Casablanca, Rick Blaine, exiled American and former freedom fighter, runs the most popular nightspot in town. The cynical lone wolf Blaine comes into the possession of two valuable letters of transit. When Nazi Major Strasser arrives in Casablanca, the sycophantic police Captain Renault does what he can to please him, including detaining a Czechoslovak underground leader Victor Laszlo. Much to Rick's surprise, Lazslo arrives with Ilsa, Rick's one time love. Rick is very bitter towards Ilsa, who ran out on him in Paris, but when he learns she had good reason to, they plan to run off together again using the letters of transit. Well, that was their original plan....	USA film registry
913	Spade and Archer is the name of a San Francisco detective agency. That's for Sam Spade and Miles Archer. The two men are partners, but Sam doesn't like Miles much. A knockout, who goes by the name of Miss Wonderly, walks into their office; and by that night everything's changed. Miles is dead. And so is a man named Floyd Thursby. It seems Miss Wonderly is surrounded by dangerous men. There's Joel Cairo, who uses gardenia-scented calling cards. There's Kasper Gutman, with his enormous girth and feigned civility. Her only hope of protection comes from Sam, who is suspected by the police of one or the other murder. More murders are yet to come, and it will all be because of these dangerous men -- and their lust for a statuette of a bird: the Maltese Falcon.	Kate::USA film registry
919	In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.	colourful::musical::fantanstical::USA film registry
920	Scarlett is a woman who can deal with a nation at war, Atlanta burning, the Union Army carrying off everything from her beloved Tara, the carpetbaggers who arrive after the war. Scarlett is beautiful. She has vitality. But Ashley, the man she has wanted for so long, is going to marry his placid cousin, Melanie. Mammy warns Scarlett to behave herself at the party at Twelve Oaks. There is a new man there that day, the day the Civil War begins. Rhett Butler. Scarlett does not know he is in the room when she pleads with Ashley to choose her instead of Melanie.	USA film registry
922	The story, set in '50s Hollywood, focuses on Norma Desmond, a silent-screen goddess whose pathetic belief in her own indestructibility has turned her into a demented recluse. The crumbling Sunset Boulevard mansion where she lives with only her butler, Max who was once her director and husband has become her self-contained world. Norma dreams of a comeback to pictures and she begins a relationship with Joe Gillis, a small-time writer who becomes her lover, that will soon end with murder and total madness.	USA film registry
923	A group of reporters are trying to decipher the last word ever spoken by Charles Foster Kane, the millionaire newspaper tycoon: "Rosebud." The film begins with a news reel detailing Kane's life for the masses, and then from there, we are shown flashbacks from Kane's life. As the reporters investigate further, the viewers see a display of a fascinating man's rise to fame, and how he eventually fell off the top of the world.	Ari::Knoll::Abe::USA film registry
924	Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.	boring::dull::incoherent
949	In the Salinas Valley, in and around World War I, Cal Trask feels he must compete against overwhelming odds with his brother Aron for the love of their father Adam. Cal is frustrated at every turn, from his reaction to the war, to how to get ahead in business and in life, to how to relate to estranged mother.	Exceptional Acting
